x,y,z
7.465447473568673331e+00,1.328118765003116319e+00,-4.052930623760516715e-01
7.821845337636857742e+00,1.320544729483937418e+00,-8.917658853714777178e-02
8.092894631498140257e+00,1.317009919349573011e+00,1.402493782613201401e-01
8.196566960105386102e+00,1.298208670558874678e+00,3.141592653589790896e-01
8.103778621815770578e+00,1.248291108995931431e+00,4.880691524566380668e-01
7.847087741055205790e+00,1.161170466667311718e+00,7.174951192551057844e-01
7.510473735730910150e+00,1.043834134076143449e+00,1.033611593094009073e+00
7.203520203536815103e+00,9.153721479748007095e-01,1.427858206062489588e+00
7.028303982184745280e+00,8.018594067466557895e-01,1.851315317970424035e+00
7.049537243146133392e+00,7.286334756600744145e-01,2.229483165604345452e+00
7.277292356260087303e+00,7.124234279243005785e-01,2.487636818286825591e+00
7.667389628129393842e+00,7.558934131444303706e-01,2.578071243060966911e+00
8.138679644379363864e+00,8.464222555171181384e-01,2.499642742876724721e+00
8.600960186329984936e+00,9.595867268898222724e-01,2.302402093070013311e+00
8.983952824282345873e+00,1.066296217839277416e+00,2.075027141011581477e+00
9.257702657108556110e+00,1.141342703767637135e+00,1.918559729327784291e+00
9.437932125205223954e+00,1.170674078388211692e+00,1.914679586158343882e+00
9.575166711136324338e+00,1.155121541746061187e+00,2.098795687502367002e+00
9.732041907000036574e+00,1.109471534729556730e+00,2.446881758151667086e+00
9.957193892021308557e+00,1.057284197333999476e+00,2.880642174215809259e+00
1.026518362475973767e+01,1.023222839491547242e+00,3.289685956885396223e+00
1.062966841820279562e+01,1.025424061828944300e+00,3.563860162042083335e+00
1.099230084987611633e+01,1.070359305851935394e+00,3.625580977464480270e+00
1.128423874296773377e+01,1.151752270862106409e+00,3.452000861455888803e+00
1.145262308466974943e+01,1.253728671962971220e+00,3.080163093521300688e+00
1.148249098557753811e+01,1.356956257264563703e+00,2.593821536064544908e+00
1.140600784173546067e+01,1.445560792013303120e+00,2.096512021687505278e+00
1.129516758384177777e+01,1.512400128841472569e+00,1.679802224961076673e+00
1.123978621375850651e+01,1.560903327554916675e+00,1.397000755030237462e+00
1.131777257806132297e+01,1.602913592015984712e+00,1.250558380542446280e+00
1.156753193106382938e+01,1.653386102542040215e+00,1.196666549457143347e+00
1.197193343377279007e+01,1.723898661139711352e+00,1.164761301990814291e+00
